epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,11941.3,1.12574,0.57205,0.87129,0.87187,0.62968,0.69331,0.40958,1.32441,2.09899,0.85288,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12115.7,1.116,0.56652,0.87051,0.87511,0.6246,0.69024,0.41053,1.31335,2.04685,0.85315,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12289.1,1.11111,0.56308,0.86946,0.87506,0.62577,0.6895,0.40855,1.34203,2.10405,0.85592,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12462.6,1.11371,0.56611,0.86899,0.88363,0.61677,0.68393,0.40962,1.32282,2.21569,0.85482,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12637.4,1.10974,0.56171,0.86793,0.8733,0.62005,0.68699,0.41077,1.33032,2.1871,0.85284,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12811.7,1.10842,0.5595,0.86683,0.87122,0.62617,0.68384,0.40912,1.35642,2.26035,0.85906,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12985.9,1.09441,0.55568,0.86579,0.87651,0.61967,0.68896,0.41556,1.32451,2.17028,0.85452,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13160.1,1.10021,0.55675,0.86695,0.88281,0.61997,0.68499,0.4125,1.32276,2.2512,0.85476,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13334.6,1.09756,0.55274,0.86649,0.87213,0.61613,0.69342,0.41328,1.32251,2.23737,0.85344,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13509.1,1.10004,0.55617,0.86609,0.87105,0.61662,0.68962,0.41402,1.31209,2.23167,0.85187,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13683.6,1.10028,0.5534,0.86396,0.87929,0.6168,0.68633,0.40936,1.31498,2.2093,0.85281,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13856.3,1.08822,0.55057,0.86543,0.87946,0.62163,0.6835,0.41078,1.3198,2.27008,0.85578,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14029.1,1.08608,0.54541,0.86292,0.87,0.62089,0.68297,0.41129,1.31891,2.26016,0.85481,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14202.9,1.09118,0.54704,0.86336,0.8767,0.61555,0.68826,0.41242,1.31377,2.19855,0.85385,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14377.6,1.08205,0.54396,0.86482,0.88826,0.61471,0.68612,0.41114,1.31301,2.23878,0.85445,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14550.5,1.07666,0.53961,0.86195,0.88172,0.61493,0.68552,0.41294,1.30882,2.24747,0.85376,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14722.5,1.07887,0.53927,0.86308,0.8814,0.62199,0.68921,0.41357,1.31157,2.26347,0.85211,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14894.8,1.08019,0.5396,0.86043,0.88082,0.62197,0.68797,0.41414,1.30934,2.24491,0.85082,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15068.6,1.07597,0.53553,0.86124,0.8792,0.62572,0.68603,0.41464,1.31754,2.26124,0.8523,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15242.2,1.07838,0.53821,0.86016,0.87205,0.62892,0.68711,0.41258,1.31787,2.25314,0.85087,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15416.5,1.07015,0.53366,0.85868,0.87638,0.62877,0.68951,0.41411,1.31316,2.22705,0.85053,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15589.9,1.06861,0.53172,0.85861,0.87059,0.63017,0.69209,0.41462,1.3156,2.24318,0.85126,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15764.7,1.06674,0.52941,0.85945,0.86199,0.63165,0.6908,0.41349,1.3137,2.24542,0.85164,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15935.6,1.02284,0.50622,0.86371,0.86775,0.62808,0.6879,0.41191,1.31961,2.27573,0.854,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16102.5,1.01086,0.50142,0.86183,0.87122,0.62596,0.68374,0.41072,1.32391,2.32485,0.85583,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16270.6,1.0051,0.4972,0.85979,0.86583,0.62352,0.68244,0.41111,1.31464,2.30877,0.85532,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,16437.3,1.00359,0.49381,0.8598,0.87348,0.6207,0.6831,0.41054,1.31776,2.29795,0.85581,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16604.3,0.99857,0.49109,0.85815,0.87174,0.62156,0.68173,0.40988,1.32477,2.31399,0.85724,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16770.3,0.99848,0.48939,0.85636,0.87212,0.6215,0.68185,0.40988,1.32465,2.31872,0.8566,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16937.6,0.99275,0.48823,0.85703,0.86727,0.62256,0.68077,0.40959,1.32953,2.34027,0.85779,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,17109.1,0.99293,0.48598,0.85446,0.86437,0.62467,0.68015,0.40928,1.33063,2.35434,0.85749,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17280.1,0.98934,0.48379,0.8561,0.86724,0.62501,0.67984,0.4081,1.32807,2.36103,0.85666,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,17452.4,0.98813,0.48456,0.85653,0.86979,0.62597,0.68097,0.40893,1.32717,2.35104,0.85579,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
